Body 348: x=2.280733, y=-11.745122, z=0.771139
Body 349: x=-0.822330, y=-11.566306, z=-6.411096
Body 350: x=3.667683, y=10.855560, z=3.751214
Body 351: x=-9.726820, y=0.141076, z=7.037358
Body 352: x=6.776110, y=-0.562291, z=12.292916
Body 353: x=-1.550580, y=1.536167, z=13.212828
Body 354: x=-5.165608, y=-9.545571, z=3.954719
Body 355: x=-4.746615, y=7.025612, z=-8.652473
Body 356: x=-7.790142, y=1.157022, z=-10.938412
Body 357: x=-0.742460, y=-4.598189, z=9.459725
Body 358: x=-5.119161, y=11.041528, z=-3.365175
Body 359: x=6.390344, y=-10.072403, z=-3.479801
Body 360: x=4.948463, y=9.232144, z=-4.111629
Body 361: x=-2.578384, y=10.033642, z=-0.771717
Body 362: x=7.593316, y=-3.737793, z=-8.664942
Body 363: x=-1.055730, y=15.249322, z=-0.128925
Body 364: x=7.197161, y=12.319119, z=-1.312744
Body 365: x=3.403434, y=-6.052298, z=7.844849
Body 366: x=10.414168, y=-2.742001, z=-1.325574
Body 367: x=-9.993573, y=2.935618, z=1.148955
Body 368: x=8.697423, y=5.484229, z=-4.736543
Body 369: x=4.302312, y=-3.099465, z=-1.865870
Body 370: x=-7.704582, y=-3.711398, z=-7.803566
Body 371: x=0.929693, y=-10.411528, z=0.292971
Body 372: x=-5.599247, y=0.725298, z=12.357731
Body 373: x=-8.292583, y=1.950767, z=-9.954581
Body 374: x=4.238727, y=3.782553, z=9.855557
Body 375: x=-7.900374, y=8.684726, z=3.689073
Body 376: x=-2.076742, y=-2.517832, z=-7.603210
Body 377: x=-6.840496, y=3.097128, z=-6.197569
Body 378: x=-0.131308, y=-1.355964, z=8.003925
Body 379: x=14.859832, y=0.405913, z=-1.164731
Body 380: x=-2.920491, y=6.698119, z=-9.314210
Body 381: x=-8.968634, y=-1.013263, z=-0.677255
Body 382: x=-12.319253, y=1.996533, z=-0.159455
Body 383: x=-2.134448, y=-9.370628, z=-1.993110
Body 384: x=10.064358, y=1.352342, z=5.215006
Body 385: x=0.568964, y=8.347361, z=-6.019340
Body 386: x=2.931557, y=-9.245349, z=4.418678
Body 387: x=-14.968751, y=2.490475, z=2.063721
Body 388: x=-0.247909, y=-4.084651, z=0.017280
Body 389: x=-10.151499, y=-3.938708, z=4.182111
Body 390: x=-2.581071, y=-8.135451, z=9.435821
Body 391: x=6.162136, y=-0.592638, z=13.368691
Body 392: x=2.796004, y=2.055755, z=-6.816921
Body 393: x=2.418249, y=2.151610, z=1.633532
Body 394: x=-8.068837, y=3.481592, z=-3.547294
Body 395: x=8.787907, y=3.885659, z=-6.085443
Body 396: x=4.871927, y=-4.036868, z=-5.686843
Body 397: x=-5.666512, y=-0.876101, z=-2.047670
Body 398: x=5.823396, y=-1.987166, z=-8.959957
Body 399: x=-2.862853, y=3.256272, z=-6.319434
Body 400: x=3.833750, y=-1.424970, z=5.189566
Body 401: x=-0.783628, y=-13.344862, z=-1.492143
Body 402: x=2.323014, y=-11.412631, z=6.334989
Body 403: x=1.382051, y=-3.129967, z=12.190091
Body 404: x=-2.521914, y=-9.423687, z=8.959503
