Body 320: x=-8.473935, y=-3.976309, z=-6.982435
Body 321: x=-13.331072, y=0.459106, z=2.653863
Body 322: x=0.602306, y=14.494659, z=-2.337585
Body 323: x=-13.664577, y=1.877818, z=-1.398798
Body 324: x=-10.088756, y=-5.464682, z=-7.632691
Body 325: x=6.588603, y=-3.572121, z=5.599657
Body 326: x=-3.970551, y=8.078254, z=3.951997
Body 327: x=-0.067352, y=-12.011023, z=7.919190
Body 328: x=6.737010, y=-9.826767, z=-2.889375
Body 329: x=1.850351, y=-8.559757, z=-5.118829
Body 330: x=-5.239348, y=7.704154, z=6.499918
Body 331: x=-6.171051, y=-9.134671, z=-2.313206
Body 332: x=8.773769, y=2.118604, z=6.339968
Body 333: x=-0.639266, y=-4.945927, z=12.730742
Body 334: x=2.977444, y=-6.897618, z=-8.940874
Body 335: x=-1.710571, y=-4.771693, z=12.035999
Body 336: x=5.419489, y=-1.820356, z=7.329836
Body 337: x=9.624045, y=-7.921775, z=-0.543004
Body 338: x=-1.530859, y=-2.962421, z=-6.193943
Body 339: x=-2.906538, y=6.485886, z=-11.057847
Body 340: x=1.322340, y=-5.019377, z=-7.889617
Body 341: x=-6.447534, y=-4.133253, z=8.376554
Body 342: x=7.756240, y=-5.035956, z=-0.833419
Body 343: x=-5.599506, y=-3.707091, z=3.638637
Body 344: x=-1.950954, y=-13.671859, z=5.277991
Body 345: x=-1.002287, y=10.327613, z=7.975928
Body 346: x=-14.426465, y=2.714365, z=3.298919
Body 347: x=-12.521336, y=-0.290930, z=-3.372207
Body 348: x=2.280789, y=-11.745034, z=0.771126
Body 349: x=-0.822343, y=-11.566399, z=-6.411091
Body 350: x=3.667712, y=10.855639, z=3.751251
Body 351: x=-9.726931, y=0.141077, z=7.037418
Body 352: x=6.776090, y=-0.562299, z=12.292939
Body 353: x=-1.550578, y=1.536161, z=13.212765
Body 354: x=-5.165644, y=-9.545588, z=3.954703
Body 355: x=-4.746612, y=7.025741, z=-8.652496
Body 356: x=-7.790106, y=1.157029, z=-10.938458
Body 357: x=-0.742463, y=-4.598202, z=9.459676
Body 358: x=-5.119205, y=11.041551, z=-3.365136
Body 359: x=6.390388, y=-10.072423, z=-3.479760
Body 360: x=4.948444, y=9.232042, z=-4.111615
Body 361: x=-2.578354, y=10.033634, z=-0.771709
Body 362: x=7.593345, y=-3.737788, z=-8.664972
Body 363: x=-1.055722, y=15.249173, z=-0.128928
Body 364: x=7.197216, y=12.319096, z=-1.312740
Body 365: x=3.403414, y=-6.052267, z=7.844918
Body 366: x=10.414224, y=-2.742009, z=-1.325571
Body 367: x=-9.993467, y=2.935616, z=1.148953
Body 368: x=8.697376, y=5.484295, z=-4.736588
Body 369: x=4.302339, y=-3.099496, z=-1.865870
Body 370: x=-7.704555, y=-3.711381, z=-7.803599
Body 371: x=0.929688, y=-10.411682, z=0.292975
Body 372: x=-5.599229, y=0.725297, z=12.357914
Body 373: x=-8.292712, y=1.950775, z=-9.954534
Body 374: x=4.238737, y=3.782544, z=9.855683
