Body 384: x=4.843757, y=0.609371, z=2.506112
Body 385: x=0.069923, y=3.640739, z=-2.727209
Body 386: x=1.537106, y=-4.007525, z=2.218259
Body 387: x=-6.977955, y=0.935084, z=0.827431
Body 388: x=-0.133379, y=-1.781414, z=0.021100
Body 389: x=-5.428490, y=-1.825482, z=2.402600
Body 390: x=-1.228569, y=-3.583416, z=4.355272
Body 391: x=2.797318, y=-0.116272, z=6.158454
Body 392: x=1.317598, y=0.814763, z=-3.260610
Body 393: x=1.406495, y=1.073300, z=0.649379
Body 394: x=-3.827224, y=1.577224, z=-1.596506
Body 395: x=4.118102, y=0.503148, z=-2.356257
Body 396: x=2.255698, y=-1.834594, z=-2.585262
Body 397: x=-2.454482, y=-0.369246, z=-1.032290
Body 398: x=2.466779, y=-1.203684, z=-4.683656
Body 399: x=-1.469417, y=1.448958, z=-3.060160
Body 400: x=1.793056, y=-0.832831, z=2.515424
Body 401: x=0.490969, y=-6.844373, z=-0.255153
Body 402: x=1.406911, y=-5.291748, z=3.047543
Body 403: x=0.579311, y=-1.474671, z=5.658543
Body 404: x=-1.165037, y=-4.490675, z=4.004849
Body 405: x=-1.128266, y=-0.817782, z=5.299044
Body 406: x=-4.128953, y=0.998540, z=-2.089825
Body 407: x=3.449589, y=-3.505124, z=-2.355417
Body 408: x=-1.016143, y=1.743304, z=-5.726495
Body 409: x=0.478755, y=1.555422, z=3.952644
Body 410: x=-4.087683, y=0.005580, z=4.286417
Body 411: x=-1.556163, y=1.630234, z=2.855093
Body 412: x=-0.801728, y=-2.205619, z=-4.507171
Body 413: x=-1.947194, y=-0.412767, z=5.533190
Body 414: x=-3.523945, y=-0.617042, z=4.503986
Body 415: x=0.457714, y=6.513300, z=1.479492
Body 416: x=0.069191, y=-4.695018, z=3.760967
Body 417: x=-0.996752, y=5.768085, z=0.439941
Body 418: x=2.333261, y=1.627228, z=-4.177205
Body 419: x=-5.178030, y=-2.784224, z=-1.085429
Body 420: x=-4.871745, y=0.186172, z=-2.928983
Body 421: x=4.462214, y=0.373620, z=-3.498811
Body 422: x=-4.913514, y=-2.849510, z=-0.355626
Body 423: x=-2.238424, y=0.088404, z=1.355693
Body 424: x=-1.596785, y=-2.998862, z=1.941727
Body 425: x=3.155760, y=-3.057200, z=-2.385925
Body 426: x=-5.113185, y=2.408182, z=2.773301
Body 427: x=1.642443, y=2.692738, z=4.791938
Body 428: x=-3.550071, y=1.961755, z=-3.767716
Body 429: x=-2.038479, y=1.182099, z=0.041673
Body 430: x=1.539231, y=-5.301978, z=2.595689
Body 431: x=-1.099099, y=6.691346, z=1.539238
Body 432: x=4.347272, y=2.763247, z=-1.744714
Body 433: x=-1.011380, y=-5.815983, z=1.250743
Body 434: x=3.791962, y=-3.047334, z=-1.149234
Body 435: x=-3.497071, y=-5.716059, z=0.104432
Body 436: x=2.994766, y=-1.356741, z=0.490129
Body 437: x=6.978287, y=0.147447, z=-0.173383
Body 438: x=4.760899, y=2.681036, z=0.704477
Body 439: x=-4.603242, y=-2.825427, z=0.641710
Body 440: x=5.735098, y=0.903115, z=2.373451
Body 441: x=-6.515449, y=-0.595742, z=-1.575921
Body 442: x=-3.812627, y=5.023038, z=0.280191
Body 443: x=-3.025448, y=-5.987073, z=0.004182
Body 444: x=-2.753473, y=0.205246, z=-5.635062
Body 445: x=0.783652, y=4.783688, z=-2.218759
Body 446: x=-2.317532, y=-0.609445, z=-2.686794
Body 447: x=-0.252177, y=-2.591579, z=-6.372966
Body 448: x=0.943541, y=5.780537, z=-2.657373
Body 449: x=3.193381, y=1.740146, z=-3.680166
Body 450: x=1.200688, y=-2.890118, z=3.142503
Body 451: x=1.618468, y=6.473114, z=1.191695
Body 452: x=-3.045557, y=-4.141881, z=1.525216
Body 453: x=-2.810860, y=0.509010, z=1.112375
Body 454: x=5.389838, y=0.870660, z=-2.301767
Body 455: x=2.923732, y=-1.663512, z=-4.819084
Body 456: x=3.390008, y=4.207191, z=1.311056
Body 457: x=-3.263827, y=4.663117, z=-1.451060
Body 458: x=1.086631, y=-1.867992, z=2.647675
Body 459: x=0.191948, y=1.745758, z=-6.803956
Body 460: x=-0.042779, y=-0.077361, z=7.384154
Body 461: x=-1.061217, y=4.943430, z=-3.364939
Body 462: x=-2.015193, y=0.481021, z=4.751051
Body 463: x=1.959555, y=-4.599213, z=-1.799484
Body 464: x=2.995319, y=3.500540, z=2.058528
Body 465: x=-0.938636, y=-4.524621, z=4.954509
Body 466: x=0.975200, y=-3.480514, z=-4.688397
Body 467: x=1.845712, y=-1.395318, z=-5.521235
Body 468: x=0.412827, y=0.390817, z=3.060156
Body 469: x=3.312462, y=1.798180, z=3.980809
Body 470: x=-5.037400, y=-2.706839, z=0.923753
Body 471: x=7.053143, y=-0.904325, z=-0.538620
Body 472: x=0.043942, y=4.668098, z=2.450932
Body 473: x=-1.987327, y=4.878403, z=-2.632306
Body 474: x=5.250048, y=1.506186, z=2.456974
Body 475: x=-1.025966, y=-0.693265, z=2.571915
Body 476: x=-1.164513, y=-0.584399, z=3.069307
Body 477: x=-1.704067, y=4.742112, z=3.110711
Body 478: x=0.817412, y=1.187037, z=-3.394114
Body 479: x=2.958906, y=0.073592, z=3.286457
Body 480: x=-3.922990, y=3.249619, z=0.818820
