Body 163: x=1.836915, y=3.570611, z=-3.717852
Body 164: x=2.303535, y=-6.685628, z=-0.384781
Body 165: x=-4.751690, y=-1.743252, z=0.423382
Body 166: x=-1.903905, y=1.970168, z=1.838904
Body 167: x=-2.686557, y=0.489379, z=-0.971517
Body 168: x=-1.390647, y=0.414088, z=2.752574
Body 169: x=3.630858, y=4.724028, z=0.099188
Body 170: x=-3.250865, y=-5.609530, z=-0.130287
Body 171: x=0.640275, y=-5.052142, z=-1.608791
Body 172: x=0.710046, y=5.248472, z=-0.940148
Body 173: x=4.208049, y=-2.519420, z=1.707741
Body 174: x=-1.238519, y=-4.098727, z=-3.772352
Body 175: x=-3.081925, y=-2.754339, z=4.232395
Body 176: x=-2.570622, y=-1.089248, z=4.453038
Body 177: x=-0.806571, y=-4.270903, z=-0.703785
Body 178: x=3.990286, y=-4.792330, z=-0.187823
Body 179: x=-3.621524, y=2.969417, z=-2.757098
Body 180: x=-3.685391, y=2.996083, z=-2.058085
Body 181: x=3.542776, y=2.384319, z=-0.822809
Body 182: x=-1.710718, y=1.569737, z=-5.569830
Body 183: x=-6.182585, y=-0.928480, z=-0.669908
Body 184: x=-0.571111, y=-4.212075, z=4.848279
Body 185: x=5.595825, y=-1.351250, z=1.450903
Body 186: x=5.041345, y=-2.773561, z=1.733170
Body 187: x=0.033184, y=-4.488292, z=3.625640
Body 188: x=2.649895, y=4.851322, z=0.496653
Body 189: x=-3.438723, y=-4.592110, z=0.707020
Body 190: x=2.271359, y=1.096427, z=-5.338691
Body 191: x=-0.157449, y=1.667751, z=-0.196415
Body 192: x=-1.442996, y=-3.496016, z=0.498303
Body 193: x=-2.728366, y=0.584947, z=-3.477119
Body 194: x=-1.263137, y=3.627230, z=2.815845
Body 195: x=2.653220, y=2.248370, z=-4.628457
Body 196: x=-3.609772, y=-0.617928, z=-0.359508
Body 197: x=-4.073551, y=-2.878929, z=1.946770
Body 198: x=3.730006, y=-0.077839, z=-4.708725
Body 199: x=3.273704, y=1.925835, z=0.458537
Body 200: x=-2.929439, y=0.160180, z=-5.299899
Body 201: x=-3.398372, y=1.364475, z=-0.453905
Body 202: x=-5.061604, y=-0.124739, z=-0.814690
Body 203: x=-0.428443, y=5.826557, z=-2.327285
Body 204: x=-2.821088, y=4.047097, z=-1.715432
Body 205: x=-4.384695, y=0.581348, z=-0.214713
Body 206: x=-2.621642, y=-5.685128, z=-0.885200
Body 207: x=5.051052, y=3.167853, z=-1.344744
Body 208: x=-5.134103, y=-2.328503, z=-1.841957
Body 209: x=3.017097, y=4.196471, z=-2.244762
Body 210: x=-3.140002, y=2.565376, z=-2.885325
Body 211: x=-0.537257, y=-1.660145, z=-5.287377
Body 212: x=1.253223, y=6.152801, z=1.300907
Body 213: x=-2.602712, y=-0.849860, z=2.702712
Body 214: x=5.688104, y=0.487661, z=-1.698888
Body 215: x=2.258156, y=2.679703, z=3.966856
Body 216: x=4.130512, y=3.289705, z=-1.376224
Body 217: x=4.143555, y=-0.835993, z=-3.085792
Body 218: x=-3.428320, y=1.102244, z=4.850643
Body 219: x=-1.910500, y=-3.506739, z=-3.309760
Body 220: x=0.817399, y=-6.066335, z=1.208925
Body 221: x=-0.695651, y=3.307133, z=4.821236
Body 222: x=3.418476, y=1.160543, z=-3.360903
Body 223: x=1.287046, y=-0.618457, z=-3.911908
