Body 296: x=4.437600, y=-0.075502, z=0.718303
Body 297: x=5.717053, y=1.520321, z=-0.215381
Body 298: x=-3.697379, y=-2.485172, z=3.024448
Body 299: x=-1.724569, y=2.385569, z=0.420361
Body 300: x=3.237450, y=2.663395, z=-1.050549
Body 301: x=0.747991, y=2.266252, z=5.707016
Body 302: x=-0.989741, y=0.234924, z=-4.017965
Body 303: x=-0.325394, y=-1.208241, z=-3.403865
Body 304: x=0.399694, y=-3.744741, z=-0.112978
Body 305: x=2.564664, y=1.281646, z=-5.073938
Body 306: x=1.940425, y=-0.493306, z=2.137646
Body 307: x=3.796085, y=4.104722, z=1.321369
Body 308: x=-3.389401, y=-2.247450, z=0.454317
Body 309: x=-2.734602, y=-4.038592, z=0.745206
Body 310: x=4.093154, y=-3.064058, z=-1.830921
Body 311: x=5.184037, y=3.307288, z=0.274037
Body 312: x=4.249110, y=-0.413708, z=-4.347122
Body 313: x=3.552854, y=3.334281, z=-1.917284
Body 314: x=8.539496, y=-4.213435, z=-6.981008
Body 315: x=5.707192, y=-2.431926, z=-0.981424
Body 316: x=-4.517505, y=-2.837052, z=1.926620
Body 317: x=2.025693, y=4.866791, z=-0.773388
Body 318: x=-3.798067, y=2.183472, z=4.729401
Body 319: x=3.981634, y=3.060175, z=1.759054
Body 320: x=-3.490366, y=-1.660432, z=-3.077842
Body 321: x=-6.296051, y=0.125303, z=0.872742
Body 322: x=0.171778, y=6.822287, z=-0.931550
Body 323: x=-6.613609, y=0.979601, z=-0.285771
Body 324: x=-5.236881, y=-3.999921, z=-3.743128
Body 325: x=2.947231, y=-1.589770, z=2.681410
Body 326: x=-1.735890, y=3.566303, z=2.160214
Body 327: x=-0.367111, y=-5.428422, z=3.537966
Body 328: x=2.968441, y=-4.754245, z=-1.340403
Body 329: x=0.559861, y=-4.353808, z=-2.250002
Body 330: x=-2.338642, y=3.802866, z=2.949851
Body 331: x=-2.718181, y=-4.330690, z=-1.247032
Body 332: x=4.015372, y=0.575463, z=2.737497
Body 333: x=-0.779241, y=-3.136939, z=6.596064
Body 334: x=1.540775, y=-3.024190, z=-4.200407
Body 335: x=-1.044994, y=-1.975558, z=5.476661
Body 336: x=2.623897, y=-0.749613, z=3.349730
Body 337: x=4.484853, y=-3.671670, z=-0.414864
Body 338: x=-0.443864, y=-1.220311, z=-2.883179
Body 339: x=-0.790271, y=2.699120, z=-4.670675
Body 340: x=0.940832, y=-2.109172, z=-3.473721
Body 341: x=-2.900918, y=-1.574565, z=3.857499
Body 342: x=4.294364, y=-2.083960, z=-1.329940
Body 343: x=-2.660008, y=-1.811186, z=1.668241
Body 344: x=-1.123818, y=-6.489450, z=2.210962
Body 345: x=-0.475215, y=4.772060, z=3.742991
Body 346: x=-6.823585, y=1.065844, z=1.324116
Body 347: x=-6.225787, y=-0.151675, z=-1.435060
Body 348: x=2.032343, y=-5.092853, z=0.541746
Body 349: x=1.951283, y=-5.913632, z=-4.196286
Body 350: x=1.701181, y=5.004629, z=1.739576
Body 351: x=-4.578519, y=-0.061598, z=3.320805
Body 352: x=2.947924, y=-0.131055, z=5.602285
Body 353: x=-0.840516, y=0.569777, z=5.941437
Body 354: x=-2.251822, y=-4.369864, z=2.382050
Body 355: x=-2.098794, y=2.993361, z=-3.895171
Body 356: x=-3.603067, y=0.364832, z=-5.048509
Body 357: x=-0.724850, y=-2.092716, z=4.283090
Body 358: x=-2.035742, y=4.814150, z=-1.520820
Body 359: x=2.943119, y=-4.682932, z=-1.601609
Body 360: x=2.832573, y=4.661745, z=-1.885778
Body 361: x=-1.234884, y=4.610651, z=-0.359999
Body 362: x=3.595105, y=-1.789433, z=-4.109689
Body 363: x=-0.450638, y=7.068272, z=-0.093128
Body 364: x=3.240919, y=5.779839, z=-0.801177
Body 365: x=1.595794, y=-2.923165, z=3.845028
Body 366: x=4.847337, y=-1.299393, z=-0.373750
Body 367: x=-4.725746, y=1.209005, z=0.565781
Body 368: x=4.179474, y=2.620739, z=-1.870352
Body 369: x=1.839495, y=-1.516621, z=-0.951196
Body 370: x=-3.604986, y=-1.412885, z=-3.398378
Body 371: x=0.434610, y=-4.843608, z=0.236484
Body 372: x=-2.185155, y=0.095825, z=5.196052
Body 373: x=-3.530976, y=1.116359, z=-4.979831
Body 374: x=1.806634, y=1.635536, z=4.334675
Body 375: x=-3.675755, y=3.809316, z=1.505383
Body 376: x=-1.139160, y=-0.716452, z=-3.550551
Body 377: x=-2.980735, y=1.246005, z=-2.808107
Body 378: x=0.448880, y=-1.243296, z=4.772639
Body 379: x=6.948470, y=0.189603, z=-0.453679
Body 380: x=-1.021359, y=3.104114, z=-4.062787
Body 381: x=-3.883032, y=-0.496212, z=-0.611631
Body 382: x=-5.902647, y=1.056039, z=0.048166
Body 383: x=-1.159779, y=-4.747863, z=-0.663331
Body 384: x=4.843741, y=0.609367, z=2.506106
Body 385: x=0.069923, y=3.640754, z=-2.727192
Body 386: x=1.537094, y=-4.007511, z=2.218243
Body 387: x=-6.977975, y=0.935069, z=0.827433
Body 388: x=-0.133378, y=-1.781416, z=0.021099
Body 389: x=-5.428508, y=-1.825497, z=2.402573
Body 390: x=-1.228586, y=-3.583439, z=4.355264
Body 391: x=2.797307, y=-0.116273, z=6.158511
Body 392: x=1.317599, y=0.814767, z=-3.260571
Body 393: x=1.406497, y=1.073295, z=0.649378
Body 394: x=-3.827248, y=1.577225, z=-1.596505
Body 395: x=4.118088, y=0.503144, z=-2.356255
Body 396: x=2.255693, y=-1.834615, z=-2.585257
Body 397: x=-2.454463, y=-0.369244, z=-1.032302
Body 398: x=2.466777, y=-1.203688, z=-4.683627
Body 399: x=-1.469419, y=1.448950, z=-3.060163
Body 400: x=1.793052, y=-0.832828, z=2.515423
Body 401: x=0.490970, y=-6.844441, z=-0.255154
Body 402: x=1.406903, y=-5.291725, z=3.047516
Body 403: x=0.579311, y=-1.474680, z=5.658531
Body 404: x=-1.165037, y=-4.490684, z=4.004866
Body 405: x=-1.128275, y=-0.817789, z=5.299105
Body 406: x=-4.128964, y=0.998543, z=-2.089834
Body 407: x=3.449580, y=-3.505092, z=-2.355425
Body 408: x=-1.016136, y=1.743315, z=-5.726503
Body 409: x=0.478758, y=1.555425, z=3.952684
Body 410: x=-4.087651, y=0.005579, z=4.286426
Body 411: x=-1.556166, y=1.630247, z=2.855075
Body 412: x=-0.801736, y=-2.205633, z=-4.507149
Body 413: x=-1.947192, y=-0.412766, z=5.533184
Body 414: x=-3.523953, y=-0.617038, z=4.503971
Body 415: x=0.457718, y=6.513348, z=1.479498
Body 416: x=0.069189, y=-4.695033, z=3.760914
Body 417: x=-0.996742, y=5.768134, z=0.439939
Body 418: x=2.333244, y=1.627229, z=-4.177191
Body 419: x=-5.178020, y=-2.784236, z=-1.085424
Body 420: x=-4.871774, y=0.186172, z=-2.928986
Body 421: x=4.462202, y=0.373619, z=-3.498847
Body 422: x=-4.913538, y=-2.849508, z=-0.355628
Body 423: x=-2.238428, y=0.088403, z=1.355702
Body 424: x=-1.596766, y=-2.998862, z=1.941725
Body 425: x=3.155775, y=-3.057208, z=-2.385934
Body 426: x=-5.113147, y=2.408188, z=2.773337
Body 427: x=1.642443, y=2.692720, z=4.791892
Body 428: x=-3.550061, y=1.961746, z=-3.767731
Body 429: x=-2.038456, y=1.182101, z=0.041676
Body 430: x=1.539251, y=-5.302003, z=2.595680
Body 431: x=-1.099082, y=6.691377, z=1.539219
Body 432: x=4.347284, y=2.763248, z=-1.744715
Body 433: x=-1.011361, y=-5.815972, z=1.250747
Body 434: x=3.791987, y=-3.047354, z=-1.149239
Body 435: x=-3.497073, y=-5.716036, z=0.104431
Body 436: x=2.994774, y=-1.356755, z=0.490128
Body 437: x=6.978249, y=0.147447, z=-0.173385
Body 438: x=4.760900, y=2.681032, z=0.704479
Body 439: x=-4.603207, y=-2.825394, z=0.641705
Body 440: x=5.735149, y=0.903124, z=2.373452
