Body 313: x=-0.765087, y=-0.673699, z=0.535601
Body 314: x=-0.782494, y=-0.082014, z=0.981344
Body 315: x=-0.909672, y=0.602100, z=0.341725
Body 316: x=0.656731, y=0.513956, z=-0.092276
Body 317: x=-0.528858, y=-0.684851, z=0.141338
Body 318: x=-0.514251, y=0.077565, z=-0.728956
Body 319: x=-0.658305, y=-0.655566, z=-0.472270
Body 320: x=0.790756, y=0.454637, z=0.701860
Body 321: x=0.900537, y=-0.104431, z=-0.263822
Body 322: x=-0.194136, y=-0.987475, z=0.234340
Body 323: x=0.861946, y=-0.147276, z=0.184556
Body 324: x=0.752734, y=0.245769, z=0.645919
Body 325: x=-0.609776, y=0.349565, z=-0.525134
Body 326: x=0.304307, y=-0.607417, z=-0.420727
Body 327: x=-0.030325, y=0.996708, z=-0.856819
Body 328: x=-0.678994, y=0.795857, z=0.352880
Body 329: x=-0.202953, y=0.691580, z=0.492723
Body 330: x=0.473195, y=-0.627732, z=-0.588903
Body 331: x=0.621765, y=0.798659, z=0.285725
Body 332: x=-0.658306, y=-0.181182, z=-0.536723
Body 333: x=-0.004969, y=0.353838, z=-0.836955
Body 334: x=-0.395136, y=0.646448, z=0.783471
Body 335: x=0.169119, y=0.572608, z=-0.872217
Body 336: x=-0.516642, y=0.132434, z=-0.609206
Body 337: x=-0.754348, y=0.685166, z=0.048755
Body 338: x=0.106117, y=0.195072, z=0.445425
Body 339: x=0.371052, y=-0.842154, z=0.951274
Body 340: x=-0.099962, y=0.434553, z=0.633296
Body 341: x=0.629956, y=0.488126, z=-0.733601
Body 342: x=-0.719314, y=0.492860, z=0.305036
Body 343: x=0.431028, y=0.317905, z=-0.329851
Body 344: x=0.191280, y=0.968119, z=-0.609022
Body 345: x=0.213241, y=-0.987319, z=-0.899036
Body 346: x=0.970502, y=-0.319543, z=-0.396142
Body 347: x=0.846771, y=-0.008108, z=0.353926
Body 348: x=-0.363115, y=0.762361, z=-0.106380
Body 349: x=0.550165, y=0.840093, z=0.448806
Body 350: x=-0.402447, y=-0.794112, z=-0.415871
Body 351: x=0.804249, y=0.032927, z=-0.694913
Body 352: x=-0.740828, y=0.106600, z=-0.981815
Body 353: x=0.158812, y=-0.114708, z=-0.878121
Body 354: x=0.543119, y=0.752490, z=-0.379214
Body 355: x=0.553373, y=-0.718814, z=0.809321
Body 356: x=0.752133, y=-0.206049, z=0.894672
Body 357: x=0.093513, y=0.451230, z=-0.728900
Body 358: x=0.481216, y=-0.786860, z=0.434799
Body 359: x=-0.626212, y=0.818691, z=0.379615
Body 360: x=-0.411993, y=-0.626010, z=0.334434
Body 361: x=0.269073, y=-0.726376, z=0.108088
Body 362: x=-0.681754, y=0.434357, z=0.761375
Body 363: x=0.128853, y=-0.962728, z=0.038843
Body 364: x=-0.799222, y=-0.995845, z=0.143106
Body 365: x=-0.356359, y=0.596735, z=-0.672288
Body 366: x=-0.697788, y=0.253136, z=0.132829
Body 367: x=0.730445, y=-0.254873, z=-0.081970
Body 368: x=-0.692477, y=-0.526674, z=0.501358
Body 369: x=-0.339219, y=0.227756, z=0.125880
Body 370: x=0.727610, y=0.441790, z=0.721344
Body 371: x=-0.095473, y=0.712076, z=-0.031458
Body 372: x=0.511028, y=-0.157179, z=-0.869450
Body 373: x=0.903144, y=-0.347835, z=0.938349
Body 374: x=-0.463773, y=-0.370689, z=-0.796917
Body 375: x=0.796715, y=-0.849191, z=-0.546979
Body 376: x=0.203465, y=0.140657, z=0.564963
Body 377: x=0.567430, y=-0.300959, z=0.550160
Body 378: x=0.153003, y=0.021244, z=-0.483033
Body 379: x=-0.943322, y=-0.048027, z=0.144809
Body 380: x=0.280993, y=-0.579206, z=0.728816
Body 381: x=0.576901, y=0.132317, z=0.075604
Body 382: x=0.839202, y=-0.138245, z=-0.047342
Body 383: x=0.264165, y=0.702738, z=0.122001
Body 384: x=-0.713371, y=-0.139232, z=-0.500280
Body 385: x=-0.020554, y=-0.608478, z=0.534593
Body 386: x=-0.346792, y=0.692437, z=-0.414237
Body 387: x=0.992430, y=-0.336497, z=-0.248159
Body 388: x=0.035845, y=0.307030, z=0.014314
Body 389: x=0.695594, y=0.364791, z=-0.330829
Body 390: x=0.319112, y=0.765675, z=-0.818778
Body 391: x=-0.702850, y=0.117145, z=-1.000805
Body 392: x=-0.237000, y=-0.151613, z=0.516998
Body 393: x=-0.183583, y=-0.160680, z=-0.123106
Body 394: x=0.609135, y=-0.297239, z=0.309847
Body 395: x=-0.941994, y=-0.772814, z=0.871752
Body 396: x=-0.444013, y=0.368042, z=0.462834
Body 397: x=0.398677, y=0.003954, z=0.157178
Body 398: x=-0.524462, y=0.325212, z=0.789973
Body 399: x=0.287487, y=-0.244922, z=0.489901
Body 400: x=-0.286588, y=0.101391, z=-0.364839
Body 401: x=-0.059147, y=0.906607, z=0.084094
Body 402: x=-0.257522, y=0.870465, z=-0.660998
Body 403: x=-0.159691, y=0.251678, z=-0.816990
Body 404: x=0.427423, y=0.881598, z=-0.925968
Body 405: x=0.335299, y=0.222344, z=-0.791193
Body 406: x=0.656513, y=-0.241639, z=0.476033
Body 407: x=-0.934345, y=0.914526, z=0.808287
Body 408: x=0.272454, y=-0.355509, z=0.846106
Body 409: x=-0.235583, y=-0.287804, z=-0.668186
Body 410: x=0.935865, y=-0.045180, z=-0.946909
Body 411: x=0.704098, y=-0.428206, z=-0.381040
Body 412: x=0.107953, y=0.388055, z=0.695533
Body 413: x=0.520668, y=0.055166, z=-0.865795
Body 414: x=0.806990, y=0.265046, z=-0.878825
Body 415: x=-0.020450, y=-0.950641, z=-0.294484
Body 416: x=-0.116760, y=0.908129, z=-0.817410
Body 417: x=0.273208, y=-0.813786, z=-0.136955
Body 418: x=-0.551544, y=-0.366877, z=0.710923
